,구분,일,미세먼지,사용일자
313,강남구,13,30,20240813
314,강동구,13,24,20240813
315,강북구,13,21,20240813
316,강서구,13,25,20240813
317,관악구,13,30,20240813
318,광진구,13,28,20240813
319,구로구,13,22,20240813
320,금천구,13,26,20240813
321,노원구,13,27,20240813
322,도봉구,13,18,20240813
323,동대문구,13,27,20240813
324,동작구,13,26,20240813
325,마포구,13,29,20240813
326,서대문구,13,21,20240813
327,서초구,13,27,20240813
328,성동구,13,26,20240813
329,성북구,13,23,20240813
330,송파구,13,33,20240813
331,양천구,13,20,20240813
332,영등포구,13,26,20240813
333,용산구,13,29,20240813
334,은평구,13,20,20240813
335,종로구,13,22,20240813
336,중구,13,20,20240813
337,중랑구,13,26,20240813
338,서울시 평균,14,24,20240814
339,강남구,14,27,20240814
340,강동구,14,20,20240814
341,강북구,14,24,20240814
342,강서구,14,28,20240814
343,관악구,14,28,20240814
344,광진구,14,24,20240814
345,구로구,14,23,20240814
346,금천구,14,26,20240814
347,노원구,14,24,20240814
348,도봉구,14,16,20240814
349,동대문구,14,28,20240814
350,동작구,14,24,20240814
351,마포구,14,27,20240814
352,서대문구,14,22,20240814
353,서초구,14,25,20240814
354,성동구,14,24,20240814
355,성북구,14,23,20240814
356,송파구,14,28,20240814
357,양천구,14,22,20240814
358,영등포구,14,26,20240814
359,용산구,14,26,20240814
360,은평구,14,23,20240814
361,종로구,14,23,20240814
362,중구,14,20,20240814
363,중랑구,14,25,20240814
364,서울시 평균,15,22,20240815
365,강남구,15,25,20240815
366,강동구,15,17,20240815
367,강북구,15,22,20240815
368,강서구,15,25,20240815
369,관악구,15,26,20240815
370,광진구,15,22,20240815
371,구로구,15,20,20240815
372,금천구,15,23,20240815
373,노원구,15,20,20240815
374,도봉구,15,14,20240815
375,동대문구,15,24,20240815
376,동작구,15,23,20240815
377,마포구,15,26,20240815
378,서대문구,15,21,20240815
379,서초구,15,23,20240815
380,성동구,15,23,20240815
381,성북구,15,19,20240815
382,송파구,15,26,20240815
383,양천구,15,21,20240815
384,영등포구,15,24,20240815
385,용산구,15,27,20240815
386,은평구,15,20,20240815
387,종로구,15,21,20240815
388,중구,15,19,20240815
389,중랑구,15,20,20240815
390,서울시 평균,16,21,20240816
391,강남구,16,26,20240816
392,강동구,16,18,20240816
393,강북구,16,20,20240816
394,강서구,16,22,20240816
395,관악구,16,25,20240816
396,광진구,16,22,20240816
397,구로구,16,17,20240816
398,금천구,16,22,20240816
399,노원구,16,20,20240816
400,도봉구,16,14,20240816
401,동대문구,16,24,20240816
402,동작구,16,24,20240816
403,마포구,16,24,20240816
404,서대문구,16,19,20240816
405,서초구,16,21,20240816
406,성동구,16,22,20240816
407,성북구,16,19,20240816
408,송파구,16,23,20240816
409,양천구,16,19,20240816
410,영등포구,16,22,20240816
411,용산구,16,24,20240816
412,은평구,16,19,20240816
413,종로구,16,19,20240816
414,중구,16,19,20240816
415,중랑구,16,22,20240816
416,서울시 평균,17,21,20240817
417,강남구,17,21,20240817
418,강동구,17,17,20240817
419,강북구,17,21,20240817
420,강서구,17,26,20240817
421,관악구,17,25,20240817
422,광진구,17,22,20240817
423,구로구,17,18,20240817
424,금천구,17,24,20240817
425,노원구,17,18,20240817
426,도봉구,17,15,20240817
427,동대문구,17,24,20240817
428,동작구,17,22,20240817
429,마포구,17,26,20240817
430,서대문구,17,20,20240817
431,서초구,17,18,20240817
432,성동구,17,21,20240817
433,성북구,17,21,20240817
434,송파구,17,22,20240817
435,양천구,17,23,20240817
436,영등포구,17,24,20240817
437,용산구,17,23,20240817
438,은평구,17,20,20240817
439,종로구,17,20,20240817
440,중구,17,19,20240817
441,중랑구,17,20,20240817
