,사용일자,노선명,역명,합계,구분
3749,20240807,8호선,송파,19022,송파구
36059,20240807,3호선,신사,57399,강남구
26313,20240807,5호선,마천,14034,송파구
28613,20240807,6호선,증산,19427,은평구
25549,20240808,7호선,수락산,25458,노원구
17618,20240808,분당선,수서,35677,강남구
12466,20240808,5호선,왕십리,10171,성동구
10098,20240808,5호선,오목교,44414,양천구
4370,20240808,우이신설선,성신여대입구,7142,성북구
31552,20240808,2호선,뚝섬,54291,성동구
10282,20240808,5호선,신정,25352,양천구
413,20240808,7호선,온수,18474,구로구
10834,20240808,5호선,송정,12245,강서구
34680,20240808,3호선,구파발,44187,은평구
12030,20240808,5호선,마장,11474,성동구
35508,20240808,2호선,삼성,130866,강남구
2481,20240808,2호선,잠실,170799,송파구
5382,20240808,9호선,고속터미널,34855,서초구
32448,20240808,경원선,청량리,32636,동대문구
4210,20240808,8호선,몽촌토성,13948,송파구
22145,20240808,6호선,상월곡,14125,성북구
34588,20240808,2호선,용두,5151,동대문구
2021,20240808,8호선,천호,33436,강동구
25365,20240808,7호선,중계,28248,노원구
11938,20240808,5호선,영등포시장,23673,영등포구
30632,20240808,3호선,무악재,9068,서대문구
24721,20240808,6호선,봉화산,18030,중랑구
32816,20240808,경원선,옥수,82,성동구
22513,20240808,6호선,창신,6287,종로구
28706,20240808,6호선,구산,15015,은평구
16722,20240808,5호선,여의나루,28184,영등포구
10926,20240808,5호선,개화산,12176,강서구
17734,20240808,3호선,일원,22340,강남구
4555,20240808,7호선,상봉,34871,중랑구
8258,20240808,9호선2~3단계,송파나루,12829,송파구
22329,20240808,6호선,고려대,16425,성북구
25457,20240808,7호선,마들,26513,노원구
1632,20240808,7호선,장승배기,18805,동작구
26866,20240808,5호선,고덕,21479,강동구
27234,20240808,5호선,강동,38737,강동구
10190,20240808,5호선,목동,35540,양천구
3290,20240808,8호선,문정,48626,송파구
16630,20240808,5호선,마포,31230,마포구
24905,20240808,7호선,사가정,32718,중랑구
22812,20240808,6호선,동묘앞,14458,종로구
11018,20240808,5호선,방화,13998,강서구
22237,20240808,6호선,월곡,23285,성북구
24813,20240808,7호선,용마산,11531,중랑구
11110,20240808,4호선,남태령,2555,서초구
22421,20240808,6호선,안암,21785,성북구
24629,20240808,6호선,화랑대,21538,노원구
17826,20240808,3호선,대청,21333,강남구
23180,20240808,6호선,신당,14036,중구
252,20240808,8호선,암사,37148,강동구
1424,20240808,신림선,보라매,8089,동작구
8166,20240808,9호선2~3단계,한성백제,6171,송파구
4946,20240808,7호선,내방,31363,서초구
31368,20240808,2호선,상왕십리,29067,성동구
36060,20240808,3호선,신사,58942,강남구
10742,20240808,5호선,마곡,26109,강서구
25181,20240808,7호선,먹골,20987,중랑구
8442,20240808,9호선2~3단계,삼전,16767,송파구
17918,20240808,3호선,학여울,6771,강남구
16377,20240808,6호선,공덕,39796,마포구
28614,20240808,6호선,증산,19433,은평구
3586,20240808,3호선,가락시장,17475,송파구
11774,20240808,5호선,영등포구청,10058,영등포구
27326,20240808,5호선,광나루,25815,광진구
35600,20240808,2호선,서울대입구,93601,관악구
23709,20240808,6호선,버티고개,4220,중구
34496,20240808,2호선,신정네거리,20907,양천구
23985,20240808,6호선,녹사평,9966,용산구
25089,20240808,7호선,중화,21106,중랑구
17294,20240808,3호선,오금,13146,송파구
1103,20240808,7호선,대림,18001,영등포구
10650,20240808,5호선,발산,47455,강서구
4670,20240808,7호선,남성,22912,동작구
4830,20240808,7호선,이수,33368,동작구
24145,20240808,경원선,석계,15982,노원구
8350,20240808,9호선2~3단계,석촌고분,14926,송파구
27050,20240808,5호선,굽은다리,20441,강동구
23801,20240808,6호선,한강진,20359,용산구
32656,20240808,3호선,압구정,66734,강남구
24997,20240808,7호선,면목,29293,중랑구
1724,20240808,7호선,상도,23107,동작구
25273,20240808,7호선,공릉,23517,노원구
528,20240808,7호선,천왕,23226,구로구
29620,20240808,6호선,역촌,8596,은평구
27142,20240808,5호선,길동,17516,강동구
10466,20240808,5호선,화곡,55713,강서구
10374,20240808,5호선,까치산,55606,강서구
31736,20240808,2호선,구의,51646,광진구
26958,20240808,5호선,명일,17838,강동구
23893,20240808,6호선,이태원,20842,용산구
24465,20240808,6호선,태릉입구,11622,노원구
17458,20240808,3호선,경찰병원,16251,송파구
1540,20240808,7호선,신대방삼거리,30393,동작구
16883,20240808,4호선,이촌,18967,용산구
8002,20240808,9호선2~3단계,올림픽공원,12285,송파구
29459,20240808,6호선,불광,10062,은평구
11406,20240808,4호선,사당,49166,동작구
10558,20240808,5호선,우장산,29647,강서구
16998,20240808,4호선,신용산,43534,용산구
30425,20240808,2호선,신림,110849,관악구
30540,20240808,3호선,독립문,14608,서대문구
33645,20240808,2호선,선릉,122270,강남구
28476,20240808,6호선,디지털미디어시티,32797,은평구
30908,20240808,2호선,을지로입구,107099,중구
35048,20240808,2호선,역삼,126013,강남구
23548,20240808,6호선,약수,7474,중구
32564,20240808,1호선,제기동,32622,동대문구
27418,20240808,5호선,강일,11725,강동구
33829,20240808,2호선,신촌,74541,마포구
30100,20240808,2호선,건대입구,71162,광진구
13772,20240808,4호선,동대문역사문화공원,35317,중구
34128,20240808,2호선,용답,5611,성동구
26222,20240808,6호선,대흥,18118,마포구
9362,20240808,7호선,어린이대공원,27108,광진구
20765,20240808,5호선,답십리,31301,성동구
33208,20240808,3호선,경복궁,47343,종로구
25946,20240808,7호선,하계,34777,노원구
18766,20240808,3호선,교대,27817,서초구
6050,20240808,7호선,청담,41473,강남구
33944,20240808,2호선,이대,32312,마포구
19114,20240808,4호선,상계,37201,노원구
20121,20240808,4호선,숙대입구,28124,용산구
34220,20240808,2호선,신답,3576,성동구
26498,20240808,5호선,개롱,13888,송파구
18378,20240808,3호선,양재,80731,서초구
137,20240808,2호선,신도림,103230,구로구
29712,20240808,6호선,응암,35366,은평구
31644,20240808,2호선,성수,92528,성동구
14260,20240808,2호선,을지로4가,30442,중구
